request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status
Q086,L013,L055,Cleaning,4,2026-07-28T16:30,2026-07-28T23:30,CANCELLED
Q087,L051,L042,Lab Equipment,4,2026-07-28T17:00,2026-07-28T23:00,CANCELLED
Q088,L044,L043,IT Support,3,2026-07-04T16:00,2026-07-04T23:00,NEW
Q089,L004,L046,Lab Equipment,5,2026-07-18T08:00,2026-07-18T13:00,NEW
Q090,L036,L023,Plumbing,1,2026-07-06T21:54,2026-07-07T00:54,CANCELLED
Q091,L046,L047,Shuttle Request,1,2026-07-18T10:54,2026-07-18T18:54,CANCELLED
Q092,L007,L039,Document,1,2026-07-08T21:15,2026-07-09T00:15,NEW
Q093,L048,L050,IT Support,4,2026-07-16T10:00,2026-07-16T15:00,NEW
Q094,L003,L013,Electrical,1,2026-07-25T15:15,2026-07-25T18:15,CANCELLED
Q095,L038,L032,IT Support,4,2026-07-23T09:00,2026-07-23T15:00,IN_PROGRESS
Q096,L045,L044,Facility Repair,4,2026-07-06T17:00,2026-07-07T00:00,IN_PROGRESS
Q097,L047,L002,Shuttle Request,4,2026-07-18T09:54,2026-07-18T16:54,COMPLETED
Q098,L033,L030,Security,5,2026-07-06T07:30,2026-07-06T12:30,NEW
Q099,L046,L024,Cleaning,2,2026-07-10T20:00,2026-07-10T23:00,COMPLETED
Q100,L053,L034,Shuttle Request,1,2026-07-10T10:15,2026-07-10T15:15,NEW
Q101,L036,L042,Medical,4,2026-07-04T11:00,2026-07-04T14:00,COMPLETED
Q102,L010,L026,Lab Equipment,5,2026-07-09T22:15,2026-07-10T05:15,NEW
Q103,L044,L004,Waste Pickup,1,2026-07-06T09:54,2026-07-06T14:54,CANCELLED
Q104,L010,L055,Electrical,1,2026-07-15T22:30,2026-07-16T04:30,NEW
Q105,L031,L012,Shuttle Request,4,2026-07-02T13:30,2026-07-02T17:30,COMPLETED
Q106,L015,L030,Facility Repair,2,2026-07-15T21:00,2026-07-16T03:00,NEW
Q107,L041,L025,Maintenance,5,2026-07-08T16:54,2026-07-08T23:54,CANCELLED
Q108,L037,L040,Security,3,2026-07-22T17:15,2026-07-22T19:15,COMPLETED
Q109,L038,L033,Facility Repair,1,2026-07-18T13:15,2026-07-18T15:15,COMPLETED
Q110,L036,L051,Shuttle Request,1,2026-07-16T17:54,2026-07-17T00:54,COMPLETED
Q111,L018,L005,Security,5,2026-07-27T10:15,2026-07-27T16:15,CANCELLED
Q112,L039,L056,Medical,1,2026-07-14T13:30,2026-07-14T19:30,CANCELLED
Q113,L029,L010,Waste Pickup,2,2026-07-10T11:45,2026-07-10T19:45,IN_PROGRESS
Q114,L008,L001,Plumbing,1,2026-07-16T09:00,2026-07-16T16:00,CANCELLED
Q115,L043,L020,IT Support,2,2026-07-19T09:30,2026-07-19T11:30,IN_PROGRESS
Q116,L033,L016,Electrical,4,2026-07-24T18:54,2026-07-25T01:54,CANCELLED
Q117,L039,L029,Cleaning,4,2026-07-05T19:15,2026-07-06T03:15,COMPLETED
Q118,L019,L026,Maintenance,2,2026-07-22T09:00,2026-07-22T15:00,CANCELLED
Q119,L032,L044,Waste Pickup,4,2026-07-21T06:30,2026-07-21T14:30,COMPLETED
Q120,L038,L017,Document,2,2026-07-27T12:00,2026-07-27T18:00,NEW
Q121,L030,L003,Plumbing,1,2026-07-06T08:15,2026-07-06T15:15,IN_PROGRESS
Q122,L038,L042,Security,2,2026-07-02T06:45,2026-07-02T12:45,NEW
Q123,L054,L007,Lab Equipment,5,2026-07-02T07:00,2026-07-02T10:00,NEW
Q124,L020,L027,Medical,3,2026-07-02T12:45,2026-07-02T20:45,CANCELLED
Q125,L016,L050,Facility Repair,4,2026-07-19T12:15,2026-07-19T17:15,COMPLETED
Q126,L021,L011,Shuttle Request,3,2026-07-23T10:54,2026-07-23T13:54,CANCELLED
Q127,L003,L054,Shuttle Request,1,2026-07-23T17:30,2026-07-23T20:30,IN_PROGRESS
Q128,L049,L018,Medical,5,2026-07-17T15:54,2026-07-17T19:54,CANCELLED
Q129,L048,L055,Document,5,2026-07-03T13:30,2026-07-03T17:30,CANCELLED
Q130,L018,L026,Security,2,2026-07-18T08:30,2026-07-18T14:30,CANCELLED
Q131,L012,L020,Document,4,2026-07-20T22:54,2026-07-21T00:54,NEW
Q132,L002,L043,Lab Equipment,1,2026-07-22T13:54,2026-07-22T19:54,NEW
Q133,L043,L016,Lab Equipment,4,2026-07-24T18:45,2026-07-25T01:45,NEW
Q134,L008,L037,Waste Pickup,5,2026-07-28T20:00,2026-07-28T00:00,NEW
Q135,L036,L014,IT Support,3,2026-07-24T12:00,2026-07-24T18:00,NEW
Q136,L029,L045,Facility Repair,3,2026-07-17T07:54,2026-07-17T13:54,IN_PROGRESS
Q137,L011,L026,Security,2,2026-07-28T19:54,2026-07-28T03:54,CANCELLED
Q138,L056,L037,Lab Equipment,4,2026-07-19T15:15,2026-07-19T23:15,COMPLETED
Q139,L047,L024,Cleaning,4,2026-07-14T18:45,2026-07-15T01:45,CANCELLED
Q140,L030,L056,Shuttle Request,4,2026-07-24T20:15,2026-07-25T01:15,IN_PROGRESS
Q141,L003,L029,Document,3,2026-07-13T15:45,2026-07-13T20:45,CANCELLED
Q142,L033,L053,Shuttle Request,2,2026-07-28T13:45,2026-07-28T16:45,COMPLETED
Q143,L039,L018,IT Support,3,2026-07-10T19:54,2026-07-11T03:54,COMPLETED
Q144,L014,L043,Cleaning,5,2026-07-09T11:45,2026-07-09T16:45,CANCELLED
Q145,L012,L010,IT Support,2,2026-07-03T22:54,2026-07-04T04:54,NEW
Q146,L028,L006,Shuttle Request,1,2026-07-24T15:00,2026-07-24T17:00,CANCELLED
Q147,L012,L022,Lab Equipment,1,2026-07-25T09:00,2026-07-25T16:00,IN_PROGRESS
Q148,L002,L054,Lab Equipment,2,2026-07-08T11:54,2026-07-08T14:54,COMPLETED
Q149,L045,L048,Cleaning,5,2026-07-27T07:00,2026-07-27T15:00,IN_PROGRESS
Q150,L041,L038,Facility Repair,3,2026-07-14T17:30,2026-07-14T20:30,COMPLETED
Q151,L029,L048,Electrical,2,2026-07-16T14:15,2026-07-16T16:15,IN_PROGRESS
Q152,L049,L026,Cleaning,5,2026-07-15T15:30,2026-07-15T22:30,CANCELLED
Q153,L008,L019,Maintenance,4,2026-07-03T20:54,2026-07-03T23:54,IN_PROGRESS
Q154,L046,L024,Plumbing,4,2026-07-16T22:00,2026-07-17T04:00,NEW
Q155,L023,L055,Waste Pickup,2,2026-07-04T18:54,2026-07-04T22:54,IN_PROGRESS
Q156,L033,L036,Maintenance,2,2026-07-10T10:15,2026-07-10T16:15,CANCELLED
Q157,L005,L047,Electrical,5,2026-07-14T06:00,2026-07-14T08:00,IN_PROGRESS
Q158,L040,L022,Medical,2,2026-07-10T08:30,2026-07-10T13:30,NEW
Q159,L029,L006,Shuttle Request,4,2026-07-09T09:30,2026-07-09T15:30,NEW
Q160,L027,L025,IT Support,2,2026-07-02T21:30,2026-07-03T02:30,CANCELLED
Q161,L013,L033,Shuttle Request,5,2026-07-16T21:15,2026-07-17T03:15,COMPLETED
Q162,L038,L023,Medical,2,2026-07-11T21:54,2026-07-12T02:54,COMPLETED
Q163,L015,L003,IT Support,1,2026-07-03T14:15,2026-07-03T22:15,COMPLETED
Q164,L005,L054,Waste Pickup,3,2026-07-28T07:45,2026-07-28T11:45,NEW
Q165,L003,L028,Plumbing,2,2026-07-05T18:30,2026-07-06T02:30,NEW
Q166,L006,L002,Cleaning,1,2026-07-06T10:54,2026-07-06T14:54,COMPLETED
Q167,L039,L032,Lab Equipment,3,2026-07-05T14:00,2026-07-05T19:00,NEW
Q168,L027,L013,Document,1,2026-07-19T15:45,2026-07-19T18:45,IN_PROGRESS
Q169,L007,L012,Shuttle Request,4,2026-07-08T13:15,2026-07-08T15:15,IN_PROGRESS
Q170,L021,L051,Security,3,2026-07-17T12:45,2026-07-17T16:45,COMPLETED
Q171,L044,L040,IT Support,4,2026-07-08T09:15,2026-07-08T11:15,CANCELLED
Q172,L041,L013,Plumbing,2,2026-07-16T20:00,2026-07-16T22:00,NEW
Q173,L028,L052,Facility Repair,2,2026-07-18T11:45,2026-07-18T17:45,COMPLETED
Q174,L016,L031,Waste Pickup,2,2026-07-19T17:00,2026-07-19T23:00,CANCELLED
Q175,L016,L013,IT Support,1,2026-07-15T08:45,2026-07-15T16:45,IN_PROGRESS
Q176,L038,L037,Plumbing,2,2026-07-17T20:54,2026-07-18T04:54,NEW
Q177,L042,L055,Lab Equipment,2,2026-07-22T09:54,2026-07-22T14:54,CANCELLED
Q178,L033,L027,Cleaning,3,2026-07-25T06:54,2026-07-25T14:54,NEW
Q179,L012,L053,Shuttle Request,1,2026-07-27T08:45,2026-07-27T16:45,CANCELLED
Q180,L038,L056,Waste Pickup,1,2026-07-09T08:30,2026-07-09T10:30,COMPLETED
Q181,L056,L020,IT Support,5,2026-07-19T12:00,2026-07-19T18:00,CANCELLED
Q182,L028,L030,Waste Pickup,5,2026-07-21T18:45,2026-07-22T02:45,CANCELLED
Q183,L016,L051,Electrical,4,2026-07-24T22:00,2026-07-25T05:00,CANCELLED
Q184,L033,L011,Medical,1,2026-07-21T11:00,2026-07-21T15:00,COMPLETED
Q185,L024,L021,Document,5,2026-07-18T09:00,2026-07-18T12:00,CANCELLED
Q186,L027,L049,Waste Pickup,1,2026-07-08T14:15,2026-07-08T17:15,NEW
Q187,L047,L046,Maintenance,3,2026-07-23T13:30,2026-07-23T17:30,COMPLETED
Q188,L039,L017,Shuttle Request,4,2026-07-03T21:54,2026-07-04T02:54,NEW
Q189,L035,L032,Cleaning,4,2026-07-23T11:30,2026-07-23T14:30,CANCELLED
Q190,L040,L046,Waste Pickup,3,2026-07-11T06:00,2026-07-11T09:00,NEW
Q191,L035,L004,Maintenance,2,2026-07-11T08:54,2026-07-11T11:54,COMPLETED
Q192,L034,L010,Maintenance,3,2026-07-17T13:15,2026-07-17T20:15,IN_PROGRESS
Q193,L006,L047,Plumbing,5,2026-07-11T20:00,2026-07-12T04:00,CANCELLED
Q194,L008,L055,Facility Repair,3,2026-07-28T08:30,2026-07-28T15:30,IN_PROGRESS
Q195,L007,L012,Security,5,2026-07-09T07:15,2026-07-09T15:15,COMPLETED
Q196,L052,L012,Lab Equipment,2,2026-07-05T20:00,2026-07-06T02:00,NEW
Q197,L015,L020,Cleaning,4,2026-07-14T21:15,2026-07-14T23:15,IN_PROGRESS
Q198,L002,L043,Facility Repair,5,2026-07-15T22:45,2026-07-16T05:45,COMPLETED
Q199,L037,L046,Medical,4,2026-07-22T21:54,2026-07-23T02:54,IN_PROGRESS
Q200,L048,L049,Waste Pickup,5,2026-07-28T17:00,2026-07-28T01:00,CANCELLED
Q201,L044,L004,Document,4,2026-07-08T14:15,2026-07-08T21:15,NEW
Q202,L044,L051,Security,2,2026-07-06T20:00,2026-07-07T03:00,CANCELLED
Q203,L022,L048,IT Support,5,2026-07-11T19:00,2026-07-12T02:00,CANCELLED
Q204,L022,L034,Cleaning,4,2026-07-13T19:00,2026-07-14T00:00,NEW
Q205,L007,L019,Maintenance,2,2026-07-13T06:45,2026-07-13T14:45,NEW
Q206,L034,L006,IT Support,5,2026-07-18T15:00,2026-07-18T20:00,NEW
Q207,L039,L048,Shuttle Request,2,2026-07-18T13:54,2026-07-18T18:54,IN_PROGRESS
Q208,L024,L044,Lab Equipment,4,2026-07-19T20:15,2026-07-19T23:15,COMPLETED
Q209,L053,L003,Shuttle Request,4,2026-07-14T17:00,2026-07-14T20:00,COMPLETED
Q210,L035,L032,Medical,4,2026-07-15T06:54,2026-07-15T12:54,NEW
Q211,L020,L028,Facility Repair,5,2026-07-15T21:45,2026-07-16T04:45,COMPLETED
Q212,L027,L049,Cleaning,2,2026-07-21T16:00,2026-07-21T18:00,CANCELLED
Q213,L001,L030,Waste Pickup,4,2026-07-16T17:54,2026-07-16T21:54,IN_PROGRESS
Q214,L017,L037,Waste Pickup,3,2026-07-06T06:00,2026-07-06T08:00,COMPLETED
Q215,L053,L045,Lab Equipment,2,2026-07-27T19:45,2026-07-28T02:45,CANCELLED
Q216,L053,L045,Document,3,2026-07-04T14:15,2026-07-04T18:15,COMPLETED
Q217,L008,L047,Electrical,2,2026-07-04T10:54,2026-07-04T13:54,CANCELLED
Q218,L001,L020,Electrical,2,2026-07-09T08:54,2026-07-09T16:54,CANCELLED
Q219,L050,L056,Security,1,2026-07-20T08:00,2026-07-20T15:00,COMPLETED
Q220,L025,L003,IT Support,1,2026-07-09T09:30,2026-07-09T13:30,NEW
Q221,L009,L014,IT Support,4,2026-07-18T22:54,2026-07-19T00:54,NEW
Q222,L011,L008,Medical,1,2026-07-15T22:54,2026-07-16T04:54,IN_PROGRESS
Q223,L053,L028,Lab Equipment,2,2026-07-09T06:30,2026-07-09T12:30,IN_PROGRESS
Q224,L014,L005,Maintenance,1,2026-07-12T20:15,2026-07-12T22:15,COMPLETED
Q225,L049,L029,Waste Pickup,2,2026-07-12T20:30,2026-07-12T22:30,CANCELLED
Q226,L027,L010,Document,3,2026-07-17T18:54,2026-07-17T20:54,CANCELLED
Q227,L014,L007,Document,3,2026-07-20T16:54,2026-07-21T00:54,CANCELLED
Q228,L045,L010,Waste Pickup,4,2026-07-25T19:45,2026-07-26T01:45,COMPLETED
Q229,L029,L022,Lab Equipment,3,2026-07-02T07:00,2026-07-02T12:00,COMPLETED
Q230,L028,L056,Lab Equipment,4,2026-07-06T12:30,2026-07-06T20:30,NEW
Q231,L039,L051,Medical,3,2026-07-25T17:00,2026-07-26T00:00,NEW
Q232,L023,L033,Shuttle Request,3,2026-07-05T15:30,2026-07-05T18:30,NEW
Q233,L056,L051,Shuttle Request,4,2026-07-24T17:15,2026-07-24T20:15,IN_PROGRESS
Q234,L019,L046,Medical,4,2026-07-23T21:54,2026-07-24T00:54,CANCELLED
Q235,L002,L038,Electrical,5,2026-07-13T17:00,2026-07-13T19:00,NEW
Q236,L022,L052,Facility Repair,3,2026-07-18T11:54,2026-07-18T13:54,COMPLETED
Q237,L003,L002,Shuttle Request,4,2026-07-09T17:45,2026-07-10T01:45,COMPLETED
Q238,L042,L041,Facility Repair,2,2026-07-19T16:30,2026-07-19T18:30,NEW
Q239,L050,L010,Medical,4,2026-07-11T22:45,2026-07-12T02:45,NEW
Q240,L020,L011,Document,3,2026-07-22T10:15,2026-07-22T14:15,CANCELLED
Q241,L045,L049,Security,1,2026-07-15T12:00,2026-07-15T17:00,NEW
Q242,L050,L048,Lab Equipment,5,2026-07-06T11:15,2026-07-06T15:15,CANCELLED
Q243,L039,L049,Lab Equipment,4,2026-07-28T14:15,2026-07-28T19:15,COMPLETED
Q244,L028,L034,Electrical,4,2026-07-24T07:45,2026-07-24T11:45,CANCELLED
Q245,L054,L016,Maintenance,4,2026-07-05T09:45,2026-07-05T15:45,NEW
Q246,L018,L027,IT Support,3,2026-07-17T13:54,2026-07-17T21:54,COMPLETED
Q247,L049,L018,IT Support,5,2026-07-08T07:00,2026-07-08T12:00,CANCELLED
Q248,L046,L030,Waste Pickup,3,2026-07-04T11:30,2026-07-04T18:30,CANCELLED
Q249,L020,L036,IT Support,3,2026-07-08T18:30,2026-07-08T21:30,NEW
Q250,L012,L003,Plumbing,2,2026-07-07T10:30,2026-07-07T14:30,NEW
Q251,L009,L035,Cleaning,1,2026-07-05T15:54,2026-07-05T17:54,NEW
Q252,L017,L020,Medical,1,2026-07-09T06:00,2026-07-09T10:00,IN_PROGRESS
Q253,L051,L041,Waste Pickup,4,2026-07-26T17:54,2026-07-26T23:54,IN_PROGRESS
Q254,L027,L032,Electrical,4,2026-07-13T20:30,2026-07-14T02:30,NEW
Q255,L050,L034,Plumbing,4,2026-07-18T16:15,2026-07-18T18:15,NEW
Q256,L043,L001,Electrical,3,2026-07-08T06:54,2026-07-08T14:54,CANCELLED
Q257,L048,L040,Maintenance,5,2026-07-21T16:30,2026-07-21T21:30,COMPLETED
Q258,L011,L054,Security,4,2026-07-20T06:15,2026-07-20T11:15,IN_PROGRESS
Q259,L005,L012,Plumbing,4,2026-07-07T17:00,2026-07-07T19:00,COMPLETED
Q260,L043,L054,Facility Repair,1,2026-07-28T15:15,2026-07-28T19:15,COMPLETED
Q261,L015,L041,Plumbing,2,2026-07-15T19:54,2026-07-16T00:54,CANCELLED
Q262,L048,L021,Lab Equipment,4,2026-07-01T18:15,2026-07-01T20:15,COMPLETED
Q263,L046,L013,Maintenance,1,2026-07-03T20:00,2026-07-03T22:00,NEW
Q264,L025,L045,Facility Repair,2,2026-07-19T19:30,2026-07-19T23:30,COMPLETED
Q265,L031,L029,Facility Repair,5,2026-07-06T08:00,2026-07-06T10:00,CANCELLED
Q266,L043,L022,Facility Repair,5,2026-07-23T07:30,2026-07-23T09:30,CANCELLED
Q267,L010,L009,Document,3,2026-07-05T19:54,2026-07-06T01:54,IN_PROGRESS
Q268,L021,L047,Document,4,2026-07-05T09:30,2026-07-05T16:30,NEW
Q269,L039,L056,Medical,2,2026-07-19T19:30,2026-07-19T22:30,CANCELLED
Q270,L043,L034,Waste Pickup,2,2026-07-13T07:30,2026-07-13T11:30,NEW
Q271,L033,L030,IT Support,2,2026-07-08T22:54,2026-07-09T02:54,COMPLETED
Q272,L002,L052,Cleaning,5,2026-07-17T07:54,2026-07-17T13:54,IN_PROGRESS
Q273,L022,L028,Lab Equipment,5,2026-07-22T07:15,2026-07-22T14:15,CANCELLED
Q274,L033,L048,Lab Equipment,3,2026-07-13T16:45,2026-07-13T18:45,CANCELLED
Q275,L023,L020,Document,5,2026-07-20T06:30,2026-07-20T08:30,COMPLETED
Q276,L002,L005,Lab Equipment,2,2026-07-07T12:54,2026-07-07T15:54,CANCELLED
Q277,L053,L011,Document,2,2026-07-17T18:15,2026-07-18T01:15,CANCELLED
Q278,L004,L051,Facility Repair,2,2026-07-12T11:54,2026-07-12T16:54,CANCELLED
Q279,L045,L005,Cleaning,2,2026-07-03T18:45,2026-07-04T00:45,IN_PROGRESS
Q280,L003,L036,Plumbing,2,2026-07-06T21:54,2026-07-07T01:54,IN_PROGRESS
Q281,L043,L019,Waste Pickup,1,2026-07-02T19:54,2026-07-03T00:54,COMPLETED
Q282,L016,L033,Electrical,4,2026-07-06T11:54,2026-07-06T19:54,IN_PROGRESS
Q283,L039,L033,Plumbing,1,2026-07-03T11:54,2026-07-03T14:54,CANCELLED
Q284,L044,L054,Electrical,4,2026-07-10T17:00,2026-07-10T23:00,COMPLETED
Q285,L011,L036,Facility Repair,2,2026-07-23T18:15,2026-07-23T21:15,IN_PROGRESS
Q286,L003,L053,Plumbing,4,2026-07-04T08:45,2026-07-04T16:45,COMPLETED
Q287,L004,L055,Document,3,2026-07-02T15:15,2026-07-02T22:15,IN_PROGRESS
Q288,L018,L023,Waste Pickup,4,2026-07-06T12:54,2026-07-06T14:54,COMPLETED
Q289,L055,L042,Lab Equipment,3,2026-07-12T18:45,2026-07-13T00:45,CANCELLED
Q290,L013,L026,Maintenance,3,2026-07-04T06:54,2026-07-04T12:54,IN_PROGRESS
Q291,L050,L041,Maintenance,2,2026-07-17T14:15,2026-07-17T20:15,IN_PROGRESS
Q292,L032,L022,Facility Repair,1,2026-07-11T17:54,2026-07-11T23:54,IN_PROGRESS
Q293,L007,L013,Maintenance,2,2026-07-04T09:45,2026-07-04T13:45,CANCELLED
Q294,L001,L007,Medical,4,2026-07-27T12:15,2026-07-27T14:15,CANCELLED
Q295,L023,L036,IT Support,4,2026-07-20T20:15,2026-07-20T23:15,IN_PROGRESS
Q296,L043,L040,Shuttle Request,3,2026-07-12T21:00,2026-07-13T05:00,NEW
Q297,L018,L006,Facility Repair,2,2026-07-10T17:30,2026-07-11T01:30,COMPLETED
